pdb,radius,compactness,openness,n_pocket_res,PC1,PC2,PC3
4mg6.pdb,5.811182022094727,1.4428822994232178,7.6145219802856445,12,-1.2030686013328613,-0.996024976750593,-0.11510067521355077
4mg7.pdb,5.626670837402344,1.5158950090408323,7.23912239074707,12,-1.7064234968059167,-2.6246874616614817,0.54641066629659
4mg8.pdb,5.540048122406006,1.173930525779724,6.916279315948486,12,-1.2392806269461234,-4.368473095525637,0.5101651931839282
4mg9.pdb,5.377803802490234,1.7174662351608276,7.72934627532959,12,-2.404464142335741,-0.5267781404663592,-0.4911589059300845
4mga.pdb,6.36474609375,1.427386999130249,7.925190448760986,12,-0.23597244607339277,0.652482777298442,-0.01744353432656491
4mgb.pdb,5.407824516296387,1.8116694688797,7.837475299835205,13,-2.519869977879898,0.03835163041314613,-0.5131049934370387
4mgc.pdb,5.697669506072998,1.237722396850586,7.453788757324219,12,-1.0147312869920406,-1.9429886023068432,-0.29360869456094096
4mgd.pdb,5.047015190124512,1.972060322761536,7.952441692352295,11,-3.3842116702785243,0.4449380164804526,-0.9863520754206867
4o6f.pdb,5.278263092041016,1.6561676263809204,7.3057732582092285,12,-2.520769987276378,-2.432897219846528,0.15784424609396333
4pp6.pdb,6.260883808135986,1.3669174909591677,7.812617778778076,13,-0.3043006652382556,0.053676690843452786,-0.03154074117230399
4ppp.pdb,6.450366020202637,1.423209547996521,7.973387718200684,15,-0.08290937744091513,0.9063596731420147,-0.005758698771450915
4pps.pdb,6.3864054679870605,1.406578540802002,7.918575286865234,14,-0.16233972717240203,0.6185240742672323,-0.009169328687291473
4pxm.pdb,6.57164192199707,1.4487062692642212,7.978994846343994,16,0.06156372862386568,1.0323842761450608,0.1983288054504314
4q50.pdb,7.369294166564941,0.0,7.369294166564941,1,4.030910922053926,-2.4159334382616335,0.08615529824576748
4tuz.pdb,5.634013652801514,1.245572805404663,7.52059268951416,12,-1.1191021167015187,-1.6950780586234588,-0.5113086431838444
4tv1.pdb,5.571707725524902,1.6302292346954346,7.828787326812744,13,-1.9086653876140167,-0.06753559323484,-0.5799889289853138
4xi3.pdb,6.623959541320801,0.8943921327590942,7.751236915588379,7,1.1790484171307256,-0.4261680522348924,-0.21375263330537575
4zn7.pdb,6.164773941040039,1.309998631477356,7.590049743652344,12,-0.3871552374015208,-0.9998075600658547,0.20440075611919084
4zn9.pdb,6.286248683929443,1.4034818410873413,7.8510966300964355,14,-0.3279140417950902,0.26713915440545627,-0.013285950110682903
4znh.pdb,4.703243255615234,1.7459114789962769,7.349265575408935,10,-3.6017754094958554,-2.5327566449146843,-0.5902667206615141
4zns.pdb,6.309102535247803,1.4192566871643066,7.833592414855957,14,-0.3253451492664288,0.2233023005464458,0.08363155157985364
4znt.pdb,6.375133991241455,1.3951562643051147,7.898170471191406,14,-0.16181112869011235,0.5143927338427385,-0.001852657547499864
4znu.pdb,6.285892963409424,1.4057581424713137,7.722665786743164,14,-0.35621322380265175,-0.2715845911776906,0.2620970069730052
4znv.pdb,6.310783386230469,1.4106439352035522,7.817459583282471,14,-0.3088876731472295,0.1481773120677124,0.1051192413555584
4znw.pdb,6.2984938621521,1.3848084211349487,7.715519428253174,14,-0.29681334742646875,-0.31373324125468316,0.2584449794378668
5aau.pdb,6.29320764541626,1.4111659526824951,7.967222213745117,14,-0.31067163431534284,0.7678823941865259,-0.23588485233772022
5aav.pdb,6.224374294281006,1.322837233543396,7.984601974487305,12,-0.24562344494538463,0.7118610487239997,-0.5242623184222812
5acc.pdb,6.615673542022705,1.0853986740112305,7.772678375244141,7,0.7991255560032757,-0.1574546338343634,0.06277574957393957
5ak2.pdb,6.369473934173584,1.367464542388916,7.980652332305908,14,-0.10210724512859896,0.8313584835254031,-0.23285090348059476
5di7.pdb,6.477057933807373,1.455946683883667,7.99574613571167,15,-0.0999118615793104,1.0491262871693001,0.04181643591578118
5did.pdb,6.389508247375488,1.4308773279190063,7.903048515319824,14,-0.20737254618689246,0.5785280623595852,0.0705325082794855
5die.pdb,6.431509017944336,1.4309442043304443,7.950170516967773,15,-0.13213125102430887,0.803947569174978,0.03025203814348302
5dig.pdb,6.574052810668945,1.4421074390411377,7.838098526000977,16,0.05262420903584178,0.43441974492060065,0.48851145573538685
5dk9.pdb,6.420119285583496,1.4131160974502563,7.969281673431396,14,-0.11218671808253222,0.8599368319050729,-0.057449623730764614
5dkb.pdb,4.71694803237915,1.74247407913208,7.347155570983887,10,-3.5736864573512994,-2.5361449694141065,-0.5724320305711691
5dke.pdb,6.285597801208496,1.3687851428985596,7.849046230316162,14,-0.2619953911694496,0.224707294991916,-0.07047049816977065
5dkg.pdb,6.312923908233643,1.3929336071014404,7.879740715026855,14,-0.2598099144803685,0.3947123196834696,-0.05464983228245633
5dks.pdb,6.353392601013184,1.3841843605041504,7.988661766052246,14,-0.15867940984657297,0.8708357398561063,-0.24333420641799633
5dl4.pdb,6.418705940246582,1.3889143466949463,7.965047836303711,14,-0.0682420736461833,0.8179203781861233,-0.09275742479202186
5dlr.pdb,6.342919826507568,1.4188464879989624,7.842947006225586,14,-0.26905324673367287,0.28400874648618263,0.11091040671750318
5dmc.pdb,6.324617862701416,1.3942253589630127,7.918397903442383,14,-0.23669522582889552,0.566209664964886,-0.11770791026101388
5dmf.pdb,6.230428218841553,1.3410446643829346,7.918624401092529,12,-0.28330088366868994,0.45550535040586704,-0.3442161378566204
5dp0.pdb,6.216687679290772,1.338106632232666,7.633656024932861,12,-0.3511940422202339,-0.755844034130065,0.2345557126396152
5drj.pdb,6.561230659484863,1.4280868768692017,7.99398946762085,16,0.08773377655756998,1.0689861102748532,0.11584999753945506
5drm.pdb,6.5436835289001465,1.4125853776931765,7.999005794525146,16,0.09080943273173425,1.0639209711813296,0.053349945533886015
5dtv.pdb,6.456960678100586,1.4071913957595823,7.988038539886475,15,-0.03867653948512291,0.9568629191003061,-0.055434727562111444
5du5.pdb,6.392903804779053,1.4006747007369995,7.979458808898926,14,-0.1294927531695181,0.8733330647158245,-0.13919699340473626
5due.pdb,6.495238304138184,1.368916153907776,7.979982376098633,14,0.09502440436993617,0.910705796039472,-0.05112950432150994
5dug.pdb,6.351799964904785,1.375696301460266,7.903831481933594,14,-0.16014331055271608,0.5045166335916527,-0.08081171226247177
5duh.pdb,6.374642848968506,1.3826351165771484,7.86776876449585,14,-0.1438154592760664,0.3740415046102815,0.039947646821546966
5dvs.pdb,6.348855018615723,1.4183993339538574,7.906180381774902,14,-0.2472638214662763,0.5535986814607787,-0.015356969225177219
