pdb,radius,compactness,openness,n_pocket_res
4iwf.pdb,6.502682209014893,1.4220268726348877,7.926869869232178,16
4jc3.pdb,6.276803493499756,1.1031594276428223,7.695127487182617,5
4jdd.pdb,7.043788909912109,0.6643917560577393,7.97071647644043,5
4mg6.pdb,5.811182022094727,1.4428822994232178,7.6145219802856445,12
4mg7.pdb,5.626670837402344,1.5158950090408325,7.23912239074707,12
4mg8.pdb,5.540048122406006,1.1739305257797241,6.916279315948486,12
4mg9.pdb,5.377803802490234,1.7174662351608276,7.72934627532959,12
4mga.pdb,6.36474609375,1.427386999130249,7.925190448760986,12
4mgb.pdb,5.407824516296387,1.8116694688796997,7.837475299835205,13
4mgc.pdb,5.697669506072998,1.237722396850586,7.453788757324219,12
4mgd.pdb,5.047015190124512,1.9720603227615356,7.952441692352295,11
4o6f.pdb,5.278263092041016,1.6561676263809204,7.3057732582092285,12
4pp6.pdb,6.260883808135986,1.3669174909591675,7.812617778778076,13
4ppp.pdb,6.450366020202637,1.423209547996521,7.973387718200684,15
4pps.pdb,6.3864054679870605,1.406578540802002,7.918575286865234,14
4pxm.pdb,6.57164192199707,1.4487062692642212,7.978994846343994,16
4q50.pdb,7.369294166564941,0.0,7.369294166564941,1
4tuz.pdb,5.634013652801514,1.245572805404663,7.52059268951416,12
4tv1.pdb,5.571707725524902,1.6302292346954346,7.828787326812744,13
4xi3.pdb,6.623959541320801,0.8943921327590942,7.751236915588379,7
4zn7.pdb,6.164773941040039,1.309998631477356,7.590049743652344,12
4zn9.pdb,6.286248683929443,1.4034818410873413,7.8510966300964355,14
4znh.pdb,4.703243255615234,1.7459114789962769,7.3492655754089355,10
4zns.pdb,6.309102535247803,1.4192566871643066,7.833592414855957,14
4znt.pdb,6.375133991241455,1.3951562643051147,7.898170471191406,14
4znu.pdb,6.285892963409424,1.4057581424713135,7.722665786743164,14
4znv.pdb,6.310783386230469,1.4106439352035522,7.817459583282471,14
4znw.pdb,6.2984938621521,1.3848084211349487,7.715519428253174,14
5aau.pdb,6.29320764541626,1.4111659526824951,7.967222213745117,14
5aav.pdb,6.224374294281006,1.322837233543396,7.984601974487305,12
